#Rho(as)     H_contr
#From Elodie Choquet (personal comm. Nov 21 2017). 5 sigma contrast curve from ALICE (KLIP processed w/ FMMF). This is the MEDIAN contrast curve from the program. Cite http://adsabs.harvard.edu/abs/2014SPIE.9143E..57C
0.5157673708313977  0.00003140245135178175
0.7907871124941928  0.00001220046747510595
1.065806854156988   6.482750150075888e-6
1.3408265958197831  3.986166593716801e-6
1.6158463374825784  3.52800694263346e-6
1.8908660791453737  2.6933439545895613e-6
2.165885820808169   2.1363362260756287e-6
2.4409055624709635  1.8579954316781446e-6
2.715925304133759   1.838792641314654e-6
2.990945045796554   1.5495091365609777e-6
