#Rho(as)     F160W_contr
#From Elodie Choquet (personal comm. Nov. 2017). 5 sigma contrast curve from ALICE (HST program 7226). Typical exposure time 1200s (600-1600s range). KLIP processed w/ FMMF. This is the BEST contrast curve from the program. Cite http://adsabs.harvard.edu/abs/2014SPIE.9143E..57C
0.5157673708313977  0.0000169230091163628
0.7907871124941928  7.930261292889146e-6
1.065806854156988   3.425894282264645e-6
1.3408265958197831  2.8449569258232718e-6
1.6158463374825784  2.2505876624664767e-6
1.8908660791453737  2.0018741345e-6
2.165885820808169   1.5305376831772497e-6
2.4409055624709635  1.0653443152803312e-6
2.715925304133759  9.633448019992015e-7
2.990945045796554  7.860071959536366e-7
